epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,501.25,1.57332,3.19809,1.61649,0.3128,0.26657,0.19985,0.0934,1.62143,3.06045,1.7889,0.0004125,0.0004125,0.0004125
2,951.326,1.55793,2.50263,1.56688,0.33637,0.27306,0.27527,0.13303,1.54985,3.04313,1.66531,0.000812749,0.000812749,0.000812749
3,1422.57,1.5796,2.3474,1.58965,0.27944,0.39894,0.25719,0.12214,1.61493,4.36339,1.70832,0.0011965,0.0011965,0.0011965
4,1911.93,1.57621,2.25771,1.56097,0.29422,0.31085,0.24957,0.12436,1.70133,3.4426,1.82828,0.00117575,0.00117575,0.00117575
5,2392.92,1.535,2.11356,1.54003,0.29201,0.29988,0.26992,0.13672,1.63169,2.45462,1.72758,0.001151,0.001151,0.001151
6,2880.54,1.51411,2.05631,1.5393,0.34921,0.39718,0.32534,0.17929,1.43311,2.32401,1.56906,0.00112625,0.00112625,0.00112625
7,3405.49,1.4743,1.95388,1.5018,0.5678,0.26756,0.32994,0.17211,1.51993,2.0201,1.62712,0.0011015,0.0011015,0.0011015
8,4005.56,1.3956,1.89104,1.46874,0.43939,0.42867,0.3741,0.19454,1.41869,2.12175,1.57504,0.00107675,0.00107675,0.00107675
9,4593.61,1.42911,1.85476,1.45363,0.47147,0.37334,0.41682,0.22588,1.39441,1.64248,1.44694,0.001052,0.001052,0.001052
10,5168.97,1.37919,1.75469,1.44543,0.53322,0.41121,0.44638,0.23793,1.30579,1.84155,1.38875,0.00102725,0.00102725,0.00102725
11,5635.71,1.37661,1.7461,1.42654,0.49752,0.34244,0.39305,0.22004,1.38514,2.12279,1.46667,0.0010025,0.0010025,0.0010025
12,6083.41,1.36057,1.72789,1.42892,0.41497,0.4293,0.39687,0.21322,1.48822,1.99732,1.68713,0.00097775,0.00097775,0.00097775
13,6534.29,1.31315,1.67651,1.40372,0.52596,0.37293,0.41291,0.23761,1.36156,1.64042,1.46566,0.000953,0.000953,0.000953
14,7025.64,1.30108,1.60715,1.39096,0.57326,0.42493,0.45294,0.25565,1.34121,1.5833,1.45016,0.00092825,0.00092825,0.00092825
15,7513.66,1.31918,1.59558,1.40698,0.61395,0.4318,0.46418,0.26159,1.23516,1.65788,1.35911,0.0009035,0.0009035,0.0009035
16,8001.69,1.29416,1.54494,1.37302,0.59156,0.41699,0.45328,0.26475,1.3186,1.69151,1.45648,0.00087875,0.00087875,0.00087875
17,8480.15,1.27229,1.50356,1.35104,0.56452,0.41035,0.46236,0.26847,1.27727,1.44571,1.36383,0.000854,0.000854,0.000854
18,8926.64,1.27317,1.51818,1.35392,0.63377,0.39915,0.46193,0.26432,1.29607,1.43481,1.39784,0.00082925,0.00082925,0.00082925
19,9440.44,1.24648,1.4836,1.35713,0.6239,0.45194,0.49677,0.2928,1.23617,1.3643,1.32071,0.0008045,0.0008045,0.0008045
20,9882.69,1.25074,1.44589,1.32802,0.62974,0.42058,0.483,0.27462,1.28178,1.56821,1.37,0.00077975,0.00077975,0.00077975
21,10340.2,1.23329,1.4335,1.33324,0.64352,0.39269,0.4685,0.27438,1.22678,1.39427,1.34233,0.000755,0.000755,0.000755
22,10792.8,1.18345,1.33134,1.28581,0.66707,0.438,0.50787,0.3042,1.18697,1.27136,1.31009,0.00073025,0.00073025,0.00073025
23,11265.8,1.19052,1.35374,1.2991,0.58866,0.41255,0.46403,0.28402,1.23644,1.37573,1.34082,0.0007055,0.0007055,0.0007055
24,11765.5,1.19388,1.32944,1.29191,0.65222,0.41203,0.47419,0.29847,1.19468,1.41149,1.33233,0.00068075,0.00068075,0.00068075
25,12273.6,1.18154,1.33105,1.28608,0.55271,0.49188,0.5043,0.30789,1.26639,1.20646,1.3525,0.000656,0.000656,0.000656
26,12781.6,1.19501,1.31036,1.27959,0.70777,0.4032,0.49034,0.29887,1.18866,1.2383,1.29371,0.00063125,0.00063125,0.00063125
27,13267,1.16744,1.30461,1.2773,0.72466,0.39584,0.50801,0.32277,1.16651,1.18165,1.26673,0.0006065,0.0006065,0.0006065
28,13719.6,1.1576,1.24915,1.26878,0.67725,0.4404,0.4948,0.30639,1.163,1.18668,1.30291,0.00058175,0.00058175,0.00058175
29,14202.9,1.13604,1.23105,1.26174,0.73572,0.39874,0.516,0.31928,1.1721,1.20763,1.30377,0.000557,0.000557,0.000557
30,14698.9,1.1223,1.21282,1.24765,0.75063,0.41011,0.52381,0.32189,1.17632,1.19925,1.29246,0.00053225,0.00053225,0.00053225
31,15158.4,1.12934,1.23508,1.25353,0.67752,0.44651,0.53307,0.33135,1.17075,1.1566,1.29115,0.0005075,0.0005075,0.0005075
32,15620.4,1.13898,1.21836,1.2501,0.62805,0.48184,0.53294,0.32857,1.14341,1.16515,1.24014,0.00048275,0.00048275,0.00048275
33,16102.6,1.10918,1.18597,1.23072,0.67625,0.48248,0.54709,0.33156,1.13706,1.1591,1.23526,0.000458,0.000458,0.000458
34,16608,1.12616,1.19378,1.24695,0.73607,0.43381,0.5272,0.32996,1.15176,1.13986,1.26441,0.00043325,0.00043325,0.00043325
35,17111.5,1.10626,1.17179,1.23569,0.80002,0.42259,0.53309,0.33668,1.13572,1.12617,1.25221,0.0004085,0.0004085,0.0004085
36,17774.7,1.07561,1.13305,1.21377,0.72393,0.42876,0.51468,0.32127,1.16831,1.13933,1.28194,0.00038375,0.00038375,0.00038375
37,18270.2,1.07386,1.13121,1.22437,0.72146,0.45268,0.51974,0.33591,1.12902,1.1403,1.2303,0.000359,0.000359,0.000359
38,18918.1,1.0245,1.08762,1.19496,0.74882,0.43054,0.5224,0.34172,1.09943,1.04113,1.23617,0.00033425,0.00033425,0.00033425
39,19578.3,1.06834,1.12466,1.21437,0.76128,0.44139,0.54417,0.337,1.10118,1.07268,1.22379,0.0003095,0.0003095,0.0003095
40,20142.3,1.03786,1.09896,1.20026,0.78218,0.42048,0.51195,0.33284,1.11146,1.12072,1.23415,0.00028475,0.00028475,0.00028475
41,20726,1.02262,1.09916,1.22232,0.69519,0.45379,0.51168,0.33578,1.1272,1.11233,1.24889,0.00026,0.00026,0.00026
42,21223,1.00277,1.01253,1.20237,0.77352,0.41057,0.51439,0.34719,1.08817,1.10753,1.21317,0.00023525,0.00023525,0.00023525
43,21780.2,0.95928,0.97844,1.17504,0.6678,0.44304,0.51467,0.33623,1.10501,1.05501,1.22182,0.0002105,0.0002105,0.0002105
44,22257.7,0.95388,0.95451,1.16662,0.79722,0.42147,0.50688,0.33632,1.09636,1.06422,1.23364,0.00018575,0.00018575,0.00018575
45,22702.3,0.92218,0.90829,1.13751,0.76473,0.43787,0.51973,0.34056,1.08721,1.05932,1.24175,0.000161,0.000161,0.000161
46,23154.7,0.92787,0.9138,1.14603,0.78334,0.44153,0.53323,0.34766,1.07233,1.06803,1.22661,0.00013625,0.00013625,0.00013625
47,23623.1,0.90274,0.86894,1.12641,0.77107,0.44407,0.52231,0.33951,1.08561,1.03907,1.22949,0.0001115,0.0001115,0.0001115
48,24129.3,0.91372,0.86691,1.14509,0.76574,0.44977,0.52572,0.34842,1.06944,1.01799,1.22413,8.675e-05,8.675e-05,8.675e-05
49,24653.6,0.91457,0.87202,1.14278,0.77066,0.43659,0.52441,0.34776,1.0737,1.02533,1.23407,6.2e-05,6.2e-05,6.2e-05
50,25173.8,0.91949,0.86938,1.14115,0.75412,0.42869,0.51843,0.3477,1.06658,1.06651,1.22763,3.725e-05,3.725e-05,3.725e-05
