epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3723,1.18253,1.86799,1.59579,1.2207,0,0.95127,0.97607,0.98515,0.73748,1,0.97091,0.99468,0.69609,0.94608,1.59132,1.06163,0.97836,0,0.000660317,0.000660317,0.000660317
2,131.368,1.21228,1.35867,1.19672,1.1717,0,0.98876,1,0.995,0.74155,0.98876,1,0.995,0.72539,0.93683,1.42841,1.16815,0.90326,0,0.00119561,0.00119561,0.00119561
3,191.858,1.09174,1.24986,1.08135,1.17057,0,1,0.9981,0.995,0.67031,1,0.9981,0.995,0.67887,1.12162,1.19519,1.6346,0.97678,0,0.00159891,0.00159891,0.00159891
4,250.586,1.07049,1.10501,1.01395,1.20034,0,0.98356,0.99709,0.99287,0.78719,0.96712,0.98053,0.97025,0.68756,0.85409,1.33058,0.92114,1.01535,0,0.001406,0.001406,0.001406
5,321.767,0.96293,1.12487,0.93001,1.1327,0,0.9702,0.98333,0.98968,0.77228,0.95346,0.96667,0.97611,0.73089,0.8903,1.39169,0.89009,0.90054,0,0.001208,0.001208,0.001208
6,404.2,0.94039,1.15473,0.88994,1.09717,0,0.98332,0.98227,0.99312,0.84455,0.96639,0.95862,0.98409,0.7668,0.70647,1.18565,0.86496,0.81181,0,0.00101,0.00101,0.00101
7,477.402,0.85768,1.09076,0.79233,1.05405,0,0.99891,1,0.995,0.82799,0.98219,0.98333,0.98364,0.73104,0.67589,1.47882,0.7125,0.79258,0,0.000812,0.000812,0.000812
8,555.123,0.90365,1.13729,0.78376,1.0808,0,1,0.99689,0.995,0.83739,0.98328,0.98031,0.98162,0.75476,0.69277,1.16119,0.68512,0.79612,0,0.000614,0.000614,0.000614
9,616.097,0.83674,1.06814,0.75339,1.04791,0,0.99539,0.98333,0.99423,0.82674,0.97852,0.96667,0.98034,0.74821,0.71579,1.16793,0.66838,0.83198,0,0.000416,0.000416,0.000416
10,679.181,0.79694,1.0273,0.72501,1.03884,0,0.99321,0.98333,0.99468,0.85246,0.97638,0.96667,0.97696,0.75553,0.6688,1.1717,0.60647,0.81747,0,0.000218,0.000218,0.000218
